[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run ParseTemplate Behavior [ RunTime:0.016526s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016597s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_filter ] --START--
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run ContentReplace Behavior [ RunTime:0.000748s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run TokenBuild Behavior [ RunTime:0.000740s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000771s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run ShowRuntime Behavior [ RunTime:0.000779s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003236s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_end ] --START--
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Run ShowPageTrace Behavior [ RunTime:0.000894s ]
[ 2018-02-24T00:00:21+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_end ] --END-- [ RunTime:0.000958s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ route_check ] --START--
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Run CheckRoute Behavior [ RunTime:0.000815s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ route_check ] --END-- [ RunTime:0.000899s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ app_begin ] --START--
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000646s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000712s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | SQL: SHOW COLUMNS FROM `ningbo_comment` [ RunTime:0.001000s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | SQL: SELECT COUNT(*) AS tp_count FROM `ningbo_comment` LIMIT 1   [ RunTime:0.000522s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.001245s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | SQL: SELECT comment.id AS id,comment.content AS content,comment.time AS time,comment.weibo_id AS weibo_id,userinfo.username AS username FROM ningbo_comment comment LEFT JOIN ningbo_userinfo userinfo ON comment.user_id = userinfo.user_id ORDER BY comment.time DESC LIMIT 0,10   [ RunTime:0.007942s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_template ] --START--
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Run LocationTemplate Behavior [ RunTime:0.001071s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_template ] --END-- [ RunTime:0.001149s ]
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | INFO: Tag[ view_parse ] --START--
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-24T00:00:22+08:00 ] /admin.php/Weibo/comment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
